UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V2F7	cobO	[reduced flavoprotein] + 2 cob(II)yrinate a,c-diamide-[corrinoid adenosyltranferase]  ->  [oxidized flavoprotein] + 2 cob(I)yrinate a,c-diamide-[corrinoid adenosyltranferase] + 2 H+ // [corrinoid adenosyltransferase] + cob(II)alamin  ->  cob(II)alamin-[corrinoid adenosyltranferase] // cob(II)yrinate a,c-diamide + [corrinoid adenosyltransferase]  ->  cob(II)yrinate a,c-diamide-[corrinoid adenosyltranferase] // cob(I)alamin-[corrinoid adenosyltranferase] + ATP  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate // adenosylcob(III)alamin-[corrinoid adenosyltranferase]  ->  [corrinoid adenosyltransferase] + adenosylcobalamin // 2 ATP + [reduced flavoprotein] + 2 cob(II)alamin  ->  2 triphosphate + [oxidized flavoprotein] + 2 adenosylcobalamin + 2 H+ // 2 ATP + 2 cob(II)yrinate a,c-diamide + [reduced flavoprotein]  ->  2 adenosyl-cob(III)yrinate a,c-diamide + 2 triphosphate + [oxidized flavoprotein] + 2 H+ // 2 ATP + 2 cob(I)yrinate a,c-diamide-[corrinoid adenosyltranferase]  ->  2 adenosyl-cob(III)yrinate a,c-diamide + 2 triphosphate + 2 [corrinoid adenosyltransferase]	EC-2.5.1.17	PMM0523	TX50_RS02805	corrinoid adenosyltransferase
Q7V1K3	cobP	adenosylcobinamide + GTP  ->  adenosyl-cobinamide phosphate + GDP + H+ // adenosylcobinamide + ATP  ->  adenosyl-cobinamide phosphate + ADP + H+ // adenosyl-cobinamide phosphate + GTP + H+  ->  adenosylcobinamide-GDP + diphosphate // a purine ribonucleoside 5'-triphosphate + adenosylcobinamide  ->  adenosyl-cobinamide phosphate + a purine ribonucleoside 5'-diphosphate + H+	EC-2.7.1.156 // EC-2.7.7.62	PMM0863	TX50_RS04620	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase
Q7V0U2	cobQ	adenosyl-cob(III)yrinate a,c-diamide + 4 L-glutamine + 4 ATP + 4 H2O  ->  4 L-glutamate + adenosylcobyrate + 4 ADP + 4 phosphate + 4 H+	EC-6.3.5.10	PMM1160	TX50_RS06255	cobyric acid synthase
Q7V324	CobS	adenosylcobinamide-GDP + benzimidazole ribotide phosphate  ->  GMP + Coalpha-[alpha-(benzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H+ // adenosylcobinamide-GDP + alpha-ribazole 5'-phosphate  ->  GMP + adenosylcobalamin 5'-phosphate + H+ // adenosylcobinamide-GDP + adenine ribotide phosphate  ->  GMP + Coalpha-[alpha-(adenin-9-yl)]-Cobeta-adenosylcobamide 5'-phosphate + H+ // adenosylcobinamide-GDP + 5-methylbenzimidazole ribotide phosphate  ->  GMP + Coalpha-[alpha-(5-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H+ // adenosylcobinamide-GDP + 2-methyladenine ribotide phosphate  ->  GMP + Coalpha-[alpha-(2-methyladenin-9-yl)]-Cobeta-adenosylcobamide 5'-phosphate + H+	EC-2.7.8.26	PMM0270	TX50_RS01400	adenosylcobinamide-GDP ribazoletransferase
P59920	cobT	beta-nicotinate D-ribonucleotide + 5,6-dimethylbenzimidazole  ->  alpha-ribazole 5'-phosphate + nicotinate + H+	EC-2.4.2.21	PMM0439	TX50_RS02365	nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase
Q7V2Z2	cpeS	C-phycoerythrin beta-subunit + (3Z)-phycoerythrobilin  ->  [C-phycoerythrin beta-subunit]-Cys84-phycoerythrobilin	EC-4.4.1	PMM0306	TX50_RS01585	phycobiliprotein &beta; subunit cysteine-82 (3<i>Z</i>)-phycoerythrobilin lyase monomer
Q7UZT9	crtD	15-<em>cis</em>-phytoene desaturase // 15-cis-phytoene + 2 a plastoquinone  ->  9,15,9'-tri-cis-zeta-carotene + 2 a plastoquinol // 15-<em>cis</em>-phytoene desaturase	EC-1.3.5.5	PMM1566	TX50_RS08385	C-3',4' desaturase CrtD
Q7V119	crtE	prenyl diphosphate + isopentenyl diphosphate  ->  geranyl diphosphate + diphosphate // geranyl diphosphate + isopentenyl diphosphate  ->  (2E,6E)-farnesyl diphosphate + diphosphate // (2E,6E)-farnesyl diphosphate + isopentenyl diphosphate  ->  geranylgeranyl diphosphate + diphosphate	EC-2.5.1.1 // EC-2.5.1.10 // EC-2.5.1.29	PMM1070	TX50_RS05745	polyprennyl diphosphate synthase
Q7V0X9	crtH	prolycopene  ->  all-trans-lycopene	EC-5.2.1.13	PMM1115	TX50_RS05975	carotene isomerase
Q7V254	crtL-e	rhodopin  ->  1'-hydroxy-gamma-carotene // gamma-carotene  ->  beta-carotene // delta-carotene  ->  alpha-carotene // beta-zeacarotene  ->  7,8-dihydro-beta-carotene // all-trans-lycopene  ->  gamma-carotene // all-trans-lycopene  ->  delta-carotene // all-trans neurosporene  ->  beta-zeacarotene // a carotenoid psi-end group  =  a carotenoid beta-end group // 3,4-didehydrorhodopin  ->  myxocoxanthin	EC-5.5.1.19 // EC-5.5.1.18	PMM0633	TX50_RS03360	bifunctional lycopene &epsilon;/&beta; cyclase
A8WI19	crtR	beta-zeacarotene + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  hydroxy-beta-zeacarotene + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O // beta-cryptoxanthin + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  zeaxanthin + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O // beta-carotene + 4 reduced ferredoxin [iron-sulfur] cluster + 4 H+ + 2 oxygen  ->  zeaxanthin + 4 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O // beta-carotene + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  beta-cryptoxanthin + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O	EC-1.14.15 // EC-1.14.15.24	PMM1806	TX50_RS01215	beta-carotene hydroxylase
Q7V2C7	csoS3	carbonic acid  <-->  CO2 + H2O	EC-4.2.1.1	PMM0553	TX50_RS02955	carboxysomal carbonic anhydrase
Q7V2M8	ctaA	hydroxyferroheme i  ->  ferroheme a + H2O // ferroheme o + an oxidized electron carrier + H2O  ->  ferroheme i + a reduced two electron carrier // ferroheme o + 2 an oxidized electron carrier + H2O  ->  ferroheme a + 2 a reduced two electron carrier // ferroheme i + an oxidized electron carrier + H2O  ->  hydroxyferroheme i + a reduced two electron carrier	EC-1.17.99	PMM0447	TX50_RS02405	heme <i>a</i> synthase
Q7V2M7	ctaB	heme <i>o</i> biosynthesis	EC-2.5.1.141	PMM0448	TX50_RS02410	protoheme IX farnesyltransferase
Q7V3C6	cugP	alpha-D-glucopyranose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-glucose + diphosphate	EC-2.7.7.64 // EC-2.7.7.9	PMM0152	TX50_RS00795	UTP--glucose-1-phosphate uridylyltransferase
Q7V2U2	cynB	cyanate[periplasm] + ATP + H2O  ->  cyanate[cytosol] + ADP + phosphate + H+	EC-7.3.2	PMM0371	TX50_RS01975	ABC-type cyanate transporter, permease component
Q7V2U1	cynD	cyanate[periplasm] + ATP + H2O  ->  cyanate[cytosol] + ADP + phosphate + H+	EC-7.3.2	PMM0372	TX50_RS01980	ABC-type cyanate transporter, ATP-binding protein component
Q7V2U0	cynS	cyanate + hydrogencarbonate + H+  ->  carbamate + CO2 // cyanate + hydrogencarbonate + 3 H+  ->  ammonium + 2 CO2 // cyanase	EC-4.2.1.104	PMM0373	TX50_RS01985	cyanase
Q7V2M9	cyoA	oxygen[out] + 4 H+[out] + 4 e-[membrane]  ->  2 H2O[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // 4 reduced plastocyanin[in] + oxygen[out] + 8 H+[out]  ->  4 oxidized plastocyanin[in] + 4 H+[in] + 2 H2O[out] // 4 H+[out]  ->  4 H+[in]	EC-7.1.1.9	PMM0446	TX50_RS02400	Cytochrome c oxidase subunit II
Q7V2N0	cyoB	oxygen[out] + 4 H+[out] + 4 e-[membrane]  ->  2 H2O[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // 4 reduced plastocyanin[in] + oxygen[out] + 8 H+[out]  ->  4 oxidized plastocyanin[in] + 4 H+[in] + 2 H2O[out] // 4 H+[out]  ->  4 H+[in]	EC-7.1.1.9	PMM0445	TX50_RS02395	Cytochrome c oxidase subunit I
Q7V2N1	cyoC	oxygen[out] + 4 H+[out] + 4 e-[membrane]  ->  2 H2O[out] // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized c-type cytochrome[out] + e-[membrane]  ->  reduced c-type cytochrome[out] // 4 reduced plastocyanin[in] + oxygen[out] + 8 H+[out]  ->  4 oxidized plastocyanin[in] + 4 H+[in] + 2 H2O[out] // 4 reduced c-type cytochrome[out] + 8 H+[in] + oxygen[in]  ->  4 oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in] // 4 H+[out]  ->  4 H+[in] // vectoral H<SUP>+</SUP> export	EC-7.1.1.9	PMM0444	TX50_RS02390	Cytochrome c oxidase subunit III
Q7V3B6	cysC	adenosine 5'-phosphosulfate + ATP  ->  3'-phosphoadenylyl-sulfate + ADP + H+	EC-2.7.1.25	PMM0166	TX50_RS00865	adenylyl-sulfate kinase
Q7UZM2	cysE	L-serine + acetyl-CoA  ->  O-acetyl-L-serine + coenzyme A	EC-2.3.1.30	PMM1638	TX50_RS08755	serine O-acetyltransferase
Q7UZH2	cysG	uroporphyrinogen-III + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + precorrin-1 + H+ // uroporphyrinogen-III + 2 S-adenosyl-L-methionine  ->  2 S-adenosyl-L-homocysteine + precorrin-2 + H+ // precorrin-2 + NAD+  ->  sirohydrochlorin + NADH + 2 H+ // precorrin-1 + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + precorrin-2	EC-2.1.1.107 // EC-1.3.1.76	PMM1694	TX50_RS09045	Uroporphyrin-III c-methyltransferase
Q7V3J4	cysH	adenosine 3',5'-bisphosphate + sulfite + oxidized thioredoxin + 2 H+  <-  3'-phosphoadenylyl-sulfate + reduced thioredoxin	EC-1.8.4.8	PMM0081	TX50_RS00430	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)
Q7V3F2	cysK1	O-acetyl-L-serine + hydrogen sulfide  ->  L-cysteine + acetate + H+	EC-2.5.1.47	PMM0123	TX50_RS00645	Cysteine synthase
Q7V2R2	cysK2	O-acetyl-L-serine + hydrogen sulfide  ->  L-cysteine + acetate + H+ // O-acetyl-L-serine + hydrogen selenide  ->  L-selenocysteine + acetate + H+	EC-2.5.1.47	PMM0407	TX50_RS02190	Cysteine synthase
Q7V0W1	cysS	tRNACys + L-cysteine + ATP  ->  L-cysteinyl-[tRNACys] + AMP + diphosphate	EC-6.1.1.16	PMM1141	TX50_RS06150	cysteine--tRNA ligase
Q7UZK9	dapA	pyruvate + L-aspartate 4-semialdehyde  ->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+	EC-4.3.3.7	PMM1653	TX50_RS08835	4-hydroxy-tetrahydrodipicolinate synthase
Q7V1N1	dapB	(S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O  <-  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+	EC-1.17.1.8	PMM0832	TX50_RS04455	4-hydroxy-tetrahydrodipicolinate reductase
Q7V1I3	dapF	L,L-diaminopimelate  ->  meso-diaminopimelate	EC-5.1.1.7	PMM0888	TX50_RS04745	diaminopimelate epimerase
Q7UZZ3	dapL	L,L-diaminopimelate + 2-oxoglutarate  <-->  (S)-2,3,4,5-tetrahydrodipicolinate + L-glutamate + H2O + H+	EC-2.6.1.83	PMM1500	TX50_RS08050	LL-diaminopimelate aminotransferase
Q7TUG4	dcd	dCTP + H+ + H2O  ->  ammonium + dUTP // CTP + H+ + H2O  ->  UTP + ammonium	EC-3.5.4.13	PMM0244	TX50_RS01265	dCTP deaminase
Q7V0F6	ddl	2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	EC-6.3.2.4	PMM1306	TX50_RS07010	D-alanine--D-alanine ligase
Q7V3K7	def	N-formyl-L-methionylaminoacyl-tRNA + H2O  ->  L-methionylaminoacyl-tRNA + formate + H+ // a [protein] N-terminal-formyl-L-methionine + H2O  =  an N-terminal L-methionyl-[protein] + formate	EC-3.5.1.88	PMM0068	TX50_RS00360	peptide deformylase
Q7UZJ2	desC	a 1-stearoyl 2-acyl-[glycerolipid] + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  =  a 1-oleoyl 2-acyl-[glycerolipid] + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O // a 1-stearoyl 2-acyl-sn-glycerol 3-phosphate + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  a 1-oleoyl 2-acyl-sn-glycerol 3-phosphate + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O // 1-stearoyl-2-palmitoyl-sn-glycerol + 2 reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H+  ->  1-oleoyl-2-palmitoyl-sn-glycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	EC-1.14.19.28	PMM1672	TX50_RS08930	<em>sn</em>-1 stearoyl-lipid 9-desaturase
Q7V3A0	dgkA	ATP + a 1,2-diacyl-sn-glycerol  ->  a phosphatidate + ADP + H+	EC-2.7.1.107	PMM0183	TX50_RS00950	diacylglycerol kinase
Q7UZJ0	dnaB	ATP + supercoiled duplex DNA + H2O  ->  ADP + 2 single stranded DNA + phosphate	EC-5.6.2	PMM1674	TX50_RS08940	replicative DNA helicase
Q7V1D1	dnaE	a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.7	PMM0945	TX50_RS05035	DNA polymerase III alpha subunit
Q7V1D6	dnaG	single stranded DNA + n a ribonucleoside triphosphate  ->  ssDNA/pppN(pN)n-1 hybrid + n-1 diphosphate	EC-2.7.7.102 // EC-2.7.7.101	PMM0939	TX50_RS05005	DNA primase
Q7V3R7	dnaN	a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.7	PMM0001	TX50_RS00020	DNA polymerase III beta subunit
Q7V265	dnaQ	[DNA] + n H2O  ->  n a 2'-deoxyribonucleoside 5'-monophosphate // a 2'-deoxyribonucleoside 5'-triphosphate + [DNA]  ->  (deoxynucleotides)(n+1) + 2 phosphate // a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-3.1.11 // EC-2.7.7.7	PMM0621	TX50_RS03300	DNA polymerase III, epsilon subunit
Q7UZK5	dnaX	a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.7	PMM1658	TX50_RS08860	DNA polymerase III subunit gamma/tau
Q7V3Q6	dusA	a 5,6-dihydrouracil20 in tRNA + NAD(P)+  =  a uracil20 in tRNA + NAD(P)H + H+	EC-1.3.1.91	PMM0014	TX50_RS00085	tRNA dihydrouridine(20/20a) synthase DusA
Q7V174	dusB	dihydrouridine synthase	EC-1.1.1	PMM1009	TX50_RS05395	tRNA dihydrouridine synthase DusB
Q7V0W0	dxr	2-C-methyl-D-erythritol 4-phosphate + NADP+  <-  1-deoxy-D-xylulose 5-phosphate + NADPH + H+	EC-1.1.1.267	PMM1142	TX50_RS06155	1-deoxy-D-xylulose-5-phosphate reductoisomerase
Q7V1G6	dxs	pyruvate + D-glyceraldehyde 3-phosphate + H+  ->  1-deoxy-D-xylulose 5-phosphate + CO2	EC-2.2.1.7	PMM0907	TX50_RS04845	1-deoxy-D-xylulose-5-phosphate synthase
Q7V2B3	ECM27	Ca2+[out] + Na+[out]  ->  Ca2+[in] + Na+[in]		PMM0568	TX50_RS03030	Ca2+/Na+ symporter
Q7V0H6	era	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM1281	TX50_RS06875	GTPase, Era homolog
Q7V3D9	fabD	malonyl-CoA + holo [PedN acyl-carrier protein]  ->  coenzyme A + malonyl-[PedN acyl-carrier protein] // malonyl-CoA + holo [PedD acyl-carrier protein]  ->  coenzyme A + malonyl-[PedD acyl-carrier protein] // malonyl-CoA + holo [BryU acyl-carrier protein]  ->  coenzyme A + malonyl-[BryU acyl-carrier protein] // malonyl-CoA + holo [BryP acyl-carrier protein]  ->  coenzyme A + malonyl-[BryP acyl-carrier protein] // malonyl-CoA + acyl-carrier protein  ->  coenzyme A + malonyl-[acp]	EC-2.3.1.39	PMM0137	TX50_RS00720	ACP S-malonyltransferase
Q7UZP9	fabF	palmitoleoyl-[acp] + malonyl-[acp] + H+  =  (11Z)-3-oxooctadec-11-enoyl-[acp] + CO2 + acyl-carrier protein // oleoyl-[acp] + malonyl-[acp] + H+  ->  (11Z)-3-oxo-icos-11-enoyl-[acp] + acyl-carrier protein + CO2 // 3-oxo-decanoyl-[acyl-carrier protein] synthase // 3-oxo-palmitoyl-[acyl-carrier protein] synthase // 3-oxo-octanoyl-[acyl-carrier protein] synthase // dodecanoyl-[acp] + malonyl-[acp] + H+  ->  3-oxotetradecanoyl-[acp] + CO2 + acyl-carrier protein // 3-oxo-dodecanoyl-[acyl-carrier protein] synthase // 3-oxo-hexanoyl-[acyl-carrier protein] synthase // 9-methyldecanoyl-[acyl-carrier protein] + malonyl-[acp] + H+  ->  11-methyl-3-oxododecanoyl-[acp] + CO2 + acyl-carrier protein // 8-methylnonanoyl-[acyl-carrier protein] + malonyl-[acp] + H+  ->  1o-methyl-3-oxoundecanoyl-[acp] + CO2 + acyl-carrier protein // 7-methyloctanoyl-[acp] + malonyl-[acp] + H+  ->  9-methyl-3-oxodecanoyl-[acp] + CO2 + acyl-carrier protein // 6-methylheptanoyl-[acp] + malonyl-[acp] + H+  ->  8-methyl-3-oxononanoyl-[acp] + CO2 + acyl-carrier protein // 5-methylhexanoyl-[acp] + malonyl-[acp] + H+  ->  7-methyl-3-oxooctanoyl-[acp] + CO2 + acyl-carrier protein // 5-methylhexanoyl-[acp] + malonyl-[acp] + H+  ->  6-methyl-3-oxoheptanoyl-[acp] + CO2 + acyl-carrier protein // 2,3,4-saturated fatty acyl-[acp] + malonyl-[acp] + H+  ->  3-oxoacyl-[acyl-carrier protein] + CO2 + acyl-carrier protein // 13-methyltetradecanoyl-[acp] + malonyl-[acp] + H+  ->  15-methyl-3-oxohexadecanoyl-[acp] + CO2 + acyl-carrier protein // 12-methyltridecanoyl-[acp] + malonyl-[acp] + H+  ->  14-methyl-3-oxopentadecanoyl-[acp] + CO2 + acyl-carrier protein // 11-methyldodecanoyl-[acp] + malonyl-[acp] + H+  ->  13-methyl-3-oxotetradecanoyl-[acp] + CO2 + acyl-carrier protein // 10-methylundecanoyl-[acp] + malonyl-[acp] + H+  ->  12-methyl-3-oxotridecanoyl-[acp] + CO2 + acyl-carrier protein // (8S)-8-methyldecanoyl-[acyl-carrier protein] + malonyl-[acp] + H+  ->  (10S)-10-methyl-3-oxododecanoyl-[acp] + CO2 + acyl-carrier protein // (6S)-6-methyloctanoyl-[acp] + malonyl-[acp] + H+  ->  (8S)-8-methyl-3-oxodecanoyl-[acp] + CO2 + acyl-carrier protein // (4S)-4-methylhexanoyl-[acp] + malonyl-[acp] + H+  ->  (6S)-6-methyl-3-oxooctanoyl-[acp] + CO2 + acyl-carrier protein // (12S)-12-methyltetradecanoyl-[acp] + malonyl-[acp] + H+  ->  (14S)-14-methyl-3-oxohexadecanoyl-[acp] + CO2 + acyl-carrier protein // (10S)-10-methyldodecanoyl-[acp] + malonyl-[acp] + H+  ->  (12S)-12-methyl-3-oxotetradecanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179 // EC-2.3.1.41	PMM1609	TX50_RS08610	beta-ketoacyl-ACP synthase II
Q7V3L5	fabG	3-oxo-meristoyl-[acyl-carrier protein] reductase // 3-oxo-octanoyl-[acyl-carrier protein] reductase // 3-oxo-stearoyl-[acyl-carrier protein] reductase // 3-hydroxyhexanoyl-[acyl-carrier protein] reductase // 3-oxo-palmitoyl-[acyl-carrier protein] reductase // 3-oxo-dodecanoyl-[acyl-carrier protein] reductase // 3-oxo-decanoyl-[acyl-carrier protein] reductase // acetoacetyl-[acyl-carrier protein] reductase // (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+  <-  3-oxoacyl-[acyl-carrier protein] + NADPH + H+	EC-1.1.1.100	PMM0453	TX50_RS02440	3-oxoacyl-[acyl-carrier-protein] reductase
Q7V3E0	fabH	acetyl-CoA + malonyl-[acp] + H+  ->  acetoacetyl-[acp] + coenzyme A + CO2	EC-2.3.1.180	PMM0136	TX50_RS00715	ketoacyl-ACP synthase III
Q7V313	fabI	<i>trans</i>-octadec-2-enoyl-[acyl-carrier-protein] reductase // pimeloyl-[acp] + NAD+  <-  2-enoyl-pimeloyl-[acp] + NADH + H+ // <i>trans</i> hexadecenoyl-[acp] reductase // <i>trans</i> oct-2-enoyl-[acp] reductase // <i>trans</i> tetradec-2-enoyl-[acp] reductase // <i>trans</i> hex-2-enoyl-[acp]-reductase // <i>trans</i> dodec-2-enoyl-[acp] reductase // <i>trans</i>-&Delta;<SUP>2</SUP>-decenoyl-[acp]-reductase // crotonyl-[acp] reductase // 9-methyldecanoyl-[acyl-carrier protein] + NAD+  <-  (2E)-9-methyldec-2-enoyl-[acp] + NADH + H+ // 8-methylnonanoyl-[acyl-carrier protein] + NAD+  <-  (2E)-8-methylnon-2-enoyl-[acp] + NADH + H+ // 7-methyloctanoyl-[acp] + NAD+  <-  (2E)-7-methyloct-2-enoyl-[acp] + NADH + H+ // 6-methylheptanoyl-[acp] + NAD+  <-  (2E)-6-methylhept-2-enoyl-[acp] + NADH + H+ // 5-methylhexanoyl-[acp] + NADP+  <-  (2E)-4-methylpent-2-enoyl-[acp] + NADPH + H+ // 5-methylhexanoyl-[acp] + NAD+  <-  (2E)-5-methylhex-2-enoyl-[acp] + NADH + H+ // 5-methylhexanoyl-[acp] + NAD+  <-  (2E)-4-methylpent-2-enoyl-[acp] + NADH + H+ // 2,3,4-saturated fatty acyl-[acp] dehydrogenase // 2,3,4-saturated fatty acyl-[acp] + NAD+  <-  trans-2-enoyl-[acyl-carrier protein] + NADH + H+ // 15-methylhexadecanoyl-[acp] + NAD+  <-  (2E)-15-methylhexadec-2-enoyl-[acp] + NADH + H+ // 14-methylpentadecanoyl-[acp] + NADP+  <-  (2E)-14-methylpentadec-2-enoyl-[acp] + NADPH + H+ // 14-methylpentadecanoyl-[acp] + NAD+  <-  (2E)-14-methylpentadec-2-enoyl-[acp] + NADH + H+ // 13-methyltetradecanoyl-[acp] + NADP+  <-  (2E)-13-methyltetradec-2-enoyl-[acp] + NADPH + H+ // 13-methyltetradecanoyl-[acp] + NAD+  <-  (2E)-13-methyltetradec-2-enoyl-[acp] + NADH + H+ // 12-methyltridecanoyl-[acp] + NAD+  <-  (2E)-12-methyltridec-2-enoyl-[acp] + NADH + H+ // 11-methyldodecanoyl-[acp] + NAD+  <-  (2E)-11-methyldodec-2-enoyl-[acp] + NADH + H+ // 10-methylundecanoyl-[acp] + NAD+  <-  (2E)-10-methylundec-2-enoyl-[acp] + NADH + H+ // (8S)-8-methyldecanoyl-[acyl-carrier protein] + NAD+  <-  (2E,8S)-8-methyldec-2-enoyl-[acp] + NADH + H+ // (6S)-6-methyloctanoyl-[acp] + NAD+  <-  (2E,6S)-6-methyloct-2-enoyl-[acp] + NADH + H+ // (4S)-4-methylhexanoyl-[acp] + NADP+  <-  (2E,4S)-4-methylhex-2-enoyl-[acp] + NADPH + H+ // (4S)-4-methylhexanoyl-[acp] + NAD+  <-  (2E,4S)-4-methylhex-2-enoyl-[acp] + NADH + H+ // (14S)-14-methylhexadecanoyl-[acp] + NAD+  <-  (2E,14S)-14-methylhexadec-2-enoyl-[acp] + NADH + H+ // (12S)-12-methyltetradecanoyl-[acp] + NADP+  <-  (2E,12S)-12-methyltetradec-2-enoyl-[acp] + NADPH + H+ // (12S)-12-methyltetradecanoyl-[acp] + NAD+  <-  (2E,12S)-12-methyltetradec-2-enoyl-[acp] + NADH + H+ // (10S)-10-methyldodecanoyl-[acp] + NAD+  <-  (2E,10S)-10-methyldodec-2-enoyl-[acp] + NADH + H+	EC-1.3.1.9 // EC-1.3.1.104 // EC-1.3.1.10 // EC-1.3.1.39	PMM0282	TX50_RS01465	enoyl-ACP reductase FabI
Q7V0D0	fabZ	(3R)-3-hydroxytetradecanoyl-[acp]  ->  (2E)-tetradec-2-enoyl-[acp] + H2O // (3R)-3-hydroxyoctanoyl-[acp]  ->  (2E)-oct-2-enoyl-[acp] + H2O // (3R)-3-hydroxyoctadecanoyl-[acp]  ->  (2E)-octadec-2-enoyl-[acp] + H2O // (3R)-3-hydroxyhexanoyl-[acp]  ->  (2E)-hex-2-enoyl-[acp] + H2O // (3R)-3-hydroxyhexadecanoyl-[acp]  ->  (2E)-hexadec-2-enoyl-[acp] + H2O // (3R)-3-hydroxydodecanoyl-[acp]  ->  (2E)-dodec-2-enoyl-[acp] + H2O // (3R)-3-hydroxydecanoyl-[acp]  ->  (2E)-dec-2-enoyl-[acp] + H2O // (3<em>R</em>)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase // (3R)-3-hydroxyacyl-[acyl-carrier protein]  ->  trans-2-enoyl-[acyl-carrier protein] + H2O	EC-4.2.1.59	PMM1336	TX50_RS07170	3-hydroxyacyl-ACP dehydratase FabZ
Q7V0P9	fcl	GDP-beta-L-fucose + NADP+  =  GDP-4-dehydro-alpha-D-rhamnose + NADPH + H+ // GDP-4-dehydro-alpha-D-rhamnose  ->  GDP-4-dehydro-6-deoxy-beta-L-galactose // GDP-4-dehydro-6-deoxy-beta-L-galactose + NADPH + H+  ->  GDP-beta-L-fucose + NADP+	EC-1.1.1.271	PMM1207	TX50_RS06510	GDP-L-fucose synthase
Q7TUA3	fmt	an N10-formyltetrahydrofolate + L-methionyl-[initiator tRNAMet]  =  a tetrahydrofolate + N-formyl-L-methionyl-[initiator tRNAmet] + H+	EC-2.1.2.9	PMM0841	TX50_RS04500	methionyl-tRNA formyltransferase
Q7V292	folB	D-threo-7,8-dihydroneopterin  ->  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin // D-erythro-7,8-dihydroneopterin  ->  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin	EC-4.1.2.25	PMM0591	TX50_RS03150	dihydroneopterin aldolase
